TEMP PH ORP EC TDS SAL SG DO SAT TIME
4.438 8.08 106.50 23750.00 12825.00 13.70 1.01 113.54 0.00 0:13:17 D/M/Y:31/12/2095
4.434 8.08 106.70 23750.00 12828.00 13.71 1.01 112.07 0.00 0:13:34 D/M/Y:31/12/2095
4.428 8.08 107.00 23760.00 12832.00 13.71 1.01 112.44 0.00 0:13:50 D/M/Y:31/12/2095
4.423 8.07 107.20 23750.00 12828.00 13.71 1.01 112.97 0.00 0:14:6 D/M/Y:31/12/2095
4.423 8.08 107.10 23760.00 12833.00 13.71 1.01 112.22 0.00 0:14:22 D/M/Y:31/12/2095
4.425 8.08 107.30 23790.00 12846.00 13.73 1.01 114.33 0.00 0:14:38 D/M/Y:31/12/2095
4.425 8.08 107.50 23800.00 12856.00 13.74 1.01 114.58 0.00 0:14:54 D/M/Y:31/12/2095
4.428 8.08 107.70 23860.00 12887.00 13.77 1.01 113.82 0.00 0:15:9 D/M/Y:31/12/2095
4.423 8.08 107.80 23890.00 12905.00 13.79 1.01 113.24 0.00 0:15:25 D/M/Y:31/12/2095
4.417 8.08 107.90 23820.00 12866.00 13.75 1.01 111.87 0.00 0:15:41 D/M/Y:31/12/2095
4.419 8.08 107.80 23860.00 12888.00 13.77 1.01 113.61 0.00 0:15:57 D/M/Y:31/12/2095
4.418 8.07 108.10 23860.00 12885.00 13.77 1.01 112.91 0.00 0:16:11 D/M/Y:31/12/2095
4.419 8.08 108.10 23810.00 12860.00 13.74 1.01 112.57 0.00 0:16:27 D/M/Y:31/12/2095
4.419 8.08 108.30 23810.00 12858.00 13.74 1.01 112.45 0.00 0:16:43 D/M/Y:31/12/2095
4.414 8.08 108.30 23800.00 12853.00 13.73 1.01 114.26 0.00 0:16:59 D/M/Y:31/12/2095
4.409 8.08 108.40 23790.00 12848.00 13.73 1.01 112.96 0.00 0:17:15 D/M/Y:31/12/2095
4.410 8.08 108.50 23800.00 12852.00 13.73 1.01 112.58 0.00 0:17:31 D/M/Y:31/12/2095
4.413 8.08 108.60 23790.00 12846.00 13.72 1.01 112.45 0.00 0:17:47 D/M/Y:31/12/2095
4.417 8.08 108.80 23790.00 12850.00 13.73 1.01 113.59 0.00 0:18:3 D/M/Y:31/12/2095
4.413 8.07 108.90 23800.00 12853.00 13.73 1.01 114.54 0.00 0:18:19 D/M/Y:31/12/2095
4.403 8.08 109.10 23800.00 12856.00 13.73 1.01 112.95 0.00 0:18:35 D/M/Y:31/12/2095
4.402 8.08 109.10 23800.00 12855.00 13.73 1.01 111.28 0.00 0:18:51 D/M/Y:31/12/2095
4.406 8.08 109.30 23800.00 12856.00 13.73 1.01 112.34 0.00 0:19:7 D/M/Y:31/12/2095
4.401 8.07 109.30 20960.00 11321.00 11.97 1.01 114.24 0.00 0:19:23 D/M/Y:31/12/2095
4.386 8.08 109.60 23790.00 12847.00 13.72 1.01 114.08 0.00 0:19:39 D/M/Y:31/12/2095
4.388 8.08 109.50 23810.00 12860.00 13.74 1.01 112.95 0.00 0:19:55 D/M/Y:31/12/2095
4.386 8.08 109.70 23850.00 12882.00 13.76 1.01 113.30 0.00 0:20:10 D/M/Y:31/12/2095
4.385 8.08 109.70 23840.00 12877.00 13.76 1.01 111.50 0.00 0:20:26 D/M/Y:31/12/2095
4.376 8.08 109.70 23700.00 12801.00 13.67 1.01 113.11 0.00 0:20:42 D/M/Y:31/12/2095
4.369 8.08 109.70 23860.00 12886.00 13.77 1.01 114.35 0.00 0:20:58 D/M/Y:31/12/2095
4.380 8.08 109.70 23850.00 12884.00 13.76 1.01 113.16 0.00 0:21:14 D/M/Y:31/12/2095
4.379 8.08 109.70 23850.00 12883.00 13.76 1.01 114.65 0.00 0:21:30 D/M/Y:31/12/2095
4.376 8.09 109.80 23860.00 12885.00 13.76 1.01 113.15 0.00 0:21:46 D/M/Y:31/12/2095
4.376 8.08 109.90 23850.00 12881.00 13.76 1.01 114.02 0.00 0:22:3 D/M/Y:31/12/2095
4.375 8.08 109.90 23850.00 12880.00 13.76 1.01 113.07 0.00 0:22:19 D/M/Y:31/12/2095
4.375 8.08 109.90 23230.00 12549.00 13.38 1.01 114.45 0.00 0:22:35 D/M/Y:31/12/2095
4.381 8.08 110.00 23880.00 12899.00 13.78 1.01 114.32 0.00 0:22:51 D/M/Y:31/12/2095
4.380 8.09 110.00 23880.00 12895.00 13.78 1.01 113.89 0.00 0:23:7 D/M/Y:31/12/2095
