

TEMP PH ORP EC TDS SAL SG DO SAT TIME
15.752 3.95 233.40 0.00 0.00 0.00 1.00 10.25 103.30 13:12:5 D/M/Y:18/10/2017
15.606 3.94 235.10 0.00 0.00 0.00 1.00 10.17 102.20 13:17:6 D/M/Y:18/10/2017
15.612 3.94 236.80 0.00 0.00 0.00 1.00 10.31 103.60 13:22:6 D/M/Y:18/10/2017
15.639 3.94 238.50 0.00 0.00 0.00 1.00 10.21 102.70 13:27:7 D/M/Y:18/10/2017
15.626 3.94 239.80 0.00 0.00 0.00 1.00 10.23 102.90 13:32:8 D/M/Y:18/10/2017
15.615 3.94 240.90 0.00 0.00 0.00 1.00 10.22 102.70 13:37:9 D/M/Y:18/10/2017
15.581 3.94 242.30 0.00 0.00 0.00 1.00 10.33 103.80 13:42:9 D/M/Y:18/10/2017
15.589 3.94 243.30 0.00 0.00 0.00 1.00 10.24 102.90 13:47:10 D/M/Y:18/10/2017
15.603 3.94 244.50 0.00 0.00 0.00 1.00 10.24 102.90 13:52:11 D/M/Y:18/10/2017
15.754 3.94 245.50 0.00 0.00 0.00 1.00 10.13 102.10 13:57:11 D/M/Y:18/10/2017
15.798 3.94 246.50 0.00 0.00 0.00 1.00 10.06 101.40 14:2:12 D/M/Y:18/10/2017
15.844 3.94 247.30 0.00 0.00 0.00 1.00 10.17 102.60 14:7:13 D/M/Y:18/10/2017
16.136 3.95 247.70 0.00 0.00 0.00 1.00 10.03 101.90 14:12:13 D/M/Y:18/10/2017
16.329 3.95 248.40 0.00 0.00 0.00 1.00 9.93 101.30 14:17:14 D/M/Y:18/10/2017
16.683 3.96 249.00 0.00 0.00 0.00 1.00 9.87 101.50 14:22:15 D/M/Y:18/10/2017
17.281 3.96 249.20 0.00 0.00 0.00 1.00 9.86 102.70 14:27:15 D/M/Y:18/10/2017
18.298 3.97 249.40 0.00 0.00 0.00 1.00 9.74 103.50 14:32:16 D/M/Y:18/10/2017
19.435 3.99 249.50 0.00 0.00 0.00 1.00 9.69 105.50 14:37:17 D/M/Y:18/10/2017
19.956 3.99 249.00 0.00 0.00 0.00 1.00 9.68 106.40 14:42:18 D/M/Y:18/10/2017
20.151 3.99 248.50 0.00 0.00 0.00 1.00 9.60 105.90 14:47:18 D/M/Y:18/10/2017
